genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Mettl9	0.24	TTR or breakage	2	[]
Insyn2a	0.63	TTR or breakage	2	[]
Eif3k	0.12	other	1	[]
Mcmbp	0.22	TTR or breakage	2	[]
Far1os	0.28	TTR or breakage	2	[]
Pdzd9	0.25	TTR or breakage	1	[]
Mir290b	0.11	IZ	1	[]
Ttc23	0.29	TTR or breakage	2	[('IZ', 2)]
Dock1	0.59	TTR or breakage	5	[('termination', 3), ('IZ', 2), ('other', 1)]
Dennd5a	0.13	other	2	[('IZ', 1)]
Samd4b	0.11	other	3	[('IZ', 2)]
Otoa	0.32	TTR or breakage	3	[]
Fam169b	0.21	TTR or breakage	2	[('IZ', 1)]
Ces1e	0.58	TTR or breakage	1	[]
Adam3	0.41	TTR or breakage	1	[('termination', 1)]
Nae1	0.27	TTR or breakage	1	[]
Pcm1	0.17	TTR or breakage	3	[]
Myo16	0.79	TTR or breakage	7	[('other', 2), ('termination', 1)]
Ist1	0.2	TTR or breakage	1	[]
Cmip	0.16	other	3	[('TTR or breakage', 2)]
Kcnn1	0.11	TTR or breakage	2	[]
Cep44	0.55	TTR or breakage	2	[]
Hydin	0.23	TTR or breakage	8	[]
Lrrc36	0.15	other	2	[]
Itgb1	0.58	TTR or breakage	1	[('other', 1)]
Kars	0.15	TTR or breakage	2	[]
A330008L17Rik	0.9	IZ	4	[('other', 3)]
Wwc2	0.17	other	3	[('IZ', 1)]
Afg3l1	0.15	other	2	[]
Ankrd10	0.14	IZ	1	[]
Cngb1	0.25	other	3	[]
Itfg1	0.25	TTR or breakage	3	[]
Crispld2	0.22	TTR or breakage	2	[('termination', 1)]
Ddx60	0.54	TTR or breakage	3	[]
Cmtm1	0.3	TTR or breakage	2	[]
Pard3	0.32	TTR or breakage	11	[('IZ', 1)]
Ddx19b	0.11	other	1	[]
Tusc3	0.68	TTR or breakage	3	[('IZ', 1)]
Pkd1l2	0.17	other	3	[]
Bco1	0.17	other	2	[]
Sap30	0.23	IZ	1	[]
Herpud2	0.43	TTR or breakage	1	[('IZ', 1)]
Adam10	0.18	TTR or breakage	2	[('other', 1)]
Dmxl2	0.33	TTR or breakage	3	[('termination', 1)]
Abhd5	0.43	TTR or breakage	1	[]
Neo1	0.2	other	3	[('termination', 1)]
Idh3a	0.26	TTR or breakage	2	[]
Onecut1	0.31	TTR or breakage	1	[]
Bnip2	0.16	TTR or breakage	2	[]
Trpc1	0.21	TTR or breakage	1	[('other', 1)]
9530059O14Rik	0.42	TTR or breakage	3	[]
Col5a3	0.15	TTR or breakage	2	[]
Atr	0.19	TTR or breakage	3	[]
Sorl1	0.23	TTR or breakage	3	[('IZ', 1)]
Sacm1l	0.31	IZ	1	[('TTR or breakage', 1)]
Herc1	0.26	TTR or breakage	2	[('termination', 2)]
Plscr1	0.68	TTR or breakage	1	[('IZ', 1)]
Mapk6	0.12	IZ	2	[]
Chordc1	0.58	IZ	2	[]
Map2k5	0.25	TTR or breakage	2	[('termination', 2), ('IZ', 1)]
Fbxl2	0.18	IZ	2	[]
Tpbg	0.46	TTR or breakage	1	[]
Fam81a	0.11	TTR or breakage	1	[('IZ', 1)]
Thyn1	0.29	TTR or breakage	2	[]
Map2k1	0.11	IZ	3	[]
Kif15	0.22	IZ	2	[]
Bbs9	0.26	TTR or breakage	9	[]
Scaper	0.26	TTR or breakage	6	[('termination', 2), ('other', 1)]
Mmp3	0.52	TTR or breakage	2	[]
U2surp	0.18	TTR or breakage	1	[('IZ', 1)]
Gm10646	0.19	CTR	1	[]
Pcolce2	0.19	TTR or breakage	2	[]
Tln2	0.23	TTR or breakage	7	[('CTR', 1)]
Mmp27	0.44	TTR or breakage	1	[]
Plod2	0.76	TTR or breakage	3	[]
Gk5	0.13	IZ	2	[]
Unc13c	0.76	TTR or breakage	9	[('termination', 2)]
Arhgap18	0.52	TTR or breakage	3	[('IZ', 1)]
Syne1	0.51	TTR or breakage	11	[('termination', 1)]
Mcu	0.21	TTR or breakage	4	[('other', 1)]
Epb41l2	0.25	TTR or breakage	3	[('IZ', 1)]
Glipr1l2	0.65	TTR or breakage	2	[]
Lama2	0.67	TTR or breakage	11	[('termination', 2), ('IZ', 1)]
Metap2	0.24	IZ	1	[]
Aifm2	0.13	TTR or breakage	1	[]
Shprh	0.15	TTR or breakage	2	[('IZ', 1)]
Dusp6	0.51	TTR or breakage	1	[]
Polr3b	0.19	TTR or breakage	2	[('IZ', 1)]
1700017N19Rik	0.78	TTR or breakage	2	[]
Stxbp5	0.7	IZ	4	[]
Rev3l	0.21	TTR or breakage	4	[]
Cpsf6	0.19	IZ	2	[]
Adgrg6	0.22	TTR or breakage	3	[]
Nkain2	0.76	TTR or breakage	21	[('other', 2), ('termination', 2)]
Lgr5	0.36	TTR or breakage	3	[]
Pcdh15	0.87	CTR	14	[('TTR or breakage', 9), ('other', 6), ('termination', 3)]
Zdhhc17	0.34	TTR or breakage	2	[('other', 1)]
Enpp1	0.47	TTR or breakage	3	[]
Fig4	0.26	TTR or breakage	4	[]
Hnrnph3	0.11	other	1	[]
Hmga2	0.23	other	1	[('TTR or breakage', 1), ('IZ', 1)]
Utp20	0.2	TTR or breakage	2	[('IZ', 1)]
D930020B18Rik	0.18	other	2	[]
Ybey	0.16	IZ	1	[]
Abca7	0.09	other	1	[('CTR', 1)]
Erbb3	0.11	other	1	[]
Crybg1	0.41	TTR or breakage	3	[('termination', 1)]
Cep290	0.77	TTR or breakage	3	[]
Tube1	0.27	TTR or breakage	1	[('IZ', 1)]
Prdm1	0.2	TTR or breakage	2	[('IZ', 1)]
Slc5a8	0.31	TTR or breakage	2	[]
Igf1	0.57	TTR or breakage	2	[]
Scyl2	0.3	TTR or breakage	2	[]
Ppil6	0.16	IZ	1	[('other', 1)]
Zfc3h1	0.24	TTR or breakage	2	[]
Pcnt	0.17	TTR or breakage	1	[('IZ', 1)]
Map3k5	0.26	TTR or breakage	5	[]
2610507B11Rik	0.09	IZ	1	[]
Heatr6	0.27	TTR or breakage	1	[]
Narf	0.16	IZ	2	[]
Tns3	0.18	TTR or breakage	4	[('IZ', 2)]
Gria1	0.76	TTR or breakage	7	[]
Sfi1	0.43	noisy	3	[('other', 1)]
Arl4d	0.11	TTR or breakage	1	[]
Col23a1	0.23	TTR or breakage	7	[]
Krt10	0.34	TTR or breakage	1	[]
Chac2	0.22	TTR or breakage	1	[]
Myh3	0.2	TTR or breakage	2	[]
Cops3	0.15	IZ	1	[]
Prpf8	0.12	CTR	2	[]
Utp18	0.19	TTR or breakage	1	[]
Dock2	0.6	TTR or breakage	11	[('termination', 1)]
Tbcd	0.25	TTR or breakage	3	[('termination', 1)]
Psmc5	0.15	other	1	[]
Prpsap1	0.13	other	1	[]
Abca13	0.64	TTR or breakage	11	[]
Usp34	0.16	other	2	[('TTR or breakage', 1), ('IZ', 1)]
Ntn1	0.18	TTR or breakage	3	[('IZ', 2)]
Uqcrq	0.13	other	1	[]
Col1a1	0.17	TTR or breakage	2	[]
Cltc	0.13	CTR	2	[('other', 1)]
Wdr92	0.46	TTR or breakage	1	[('IZ', 1)]
Ints2	0.2	TTR or breakage	2	[]
Rnf213	0.11	IZ	1	[('TTR or breakage', 1), ('other', 1)]
Hormad2	0.12	other	3	[]
Rel	0.2	TTR or breakage	2	[]
Abca8a	0.57	termination	1	[('TTR or breakage', 1)]
Psme4	0.18	TTR or breakage	2	[('IZ', 1)]
Gabrg2	0.54	noisy	3	[]
Mir7116	0.09	other	1	[]
Zfp286	0.17	TTR or breakage	1	[]
Ppp4r3b	0.25	TTR or breakage	2	[]
Fnip1	0.22	TTR or breakage	3	[]
Srsf5	0.19	other	1	[('TTR or breakage', 1)]
Hectd1	0.14	IZ	2	[('TTR or breakage', 1)]
Dld	0.34	TTR or breakage	2	[]
Pole2	0.14	IZ	1	[]
Lrfn5	0.86	other	7	[('IZ', 1)]
Cdkl1	0.2	IZ	1	[('TTR or breakage', 1)]
Npas3	0.68	TTR or breakage	12	[('other', 3), ('termination', 2), ('IZ', 1)]
Map4k5	0.22	TTR or breakage	2	[]
Ppp4r3a	0.15	IZ	1	[('TTR or breakage', 1)]
Agmo	0.88	other	4	[('CTR', 4)]
Rhoj	0.32	TTR or breakage	3	[]
Cfl2	0.14	IZ	1	[]
Nin	0.28	TTR or breakage	3	[]
Atg2b	0.18	TTR or breakage	2	[]
Gskip	0.16	TTR or breakage	1	[('IZ', 1)]
Rad51b	0.27	other	6	[('TTR or breakage', 5), ('termination', 1)]
Syne2	0.23	TTR or breakage	6	[('termination', 1)]
Nrcam	0.67	TTR or breakage	7	[]
Eif5	0.13	other	1	[]
Numb	0.17	TTR or breakage	4	[]
Ppp2r5c	0.11	TTR or breakage	4	[]
Trip11	0.19	IZ	2	[('TTR or breakage', 1)]
L2hgdh	0.19	other	1	[('IZ', 1)]
Slc24a4	0.31	TTR or breakage	2	[('termination', 2)]
Matn3	0.23	IZ	1	[('TTR or breakage', 1)]
Spata7	0.23	TTR or breakage	2	[]
Prkd1	0.89	CTR	5	[('TTR or breakage', 2)]
Serpina11	0.64	TTR or breakage	1	[]
Cenph	0.13	IZ	1	[]
Hexb	0.13	IZ	1	[]
Rasgrf2	0.53	TTR or breakage	4	[('other', 2)]
Bdp1	0.36	TTR or breakage	3	[]
Fam120a	0.16	IZ	2	[('TTR or breakage', 1)]
Pak1ip1	0.15	TTR or breakage	1	[]
Gfm2	0.13	IZ	2	[]
Naa35	0.18	TTR or breakage	2	[]
Ero1b	0.27	TTR or breakage	2	[]
Wnk2	0.17	other	2	[('IZ', 1)]
Dsp	0.19	TTR or breakage	1	[]
Adgrv1	0.48	TTR or breakage	10	[('termination', 2)]
Ripor2	0.36	TTR or breakage	5	[]
Ddx46	0.12	IZ	2	[]
Cdk13	0.31	TTR or breakage	2	[('IZ', 1)]
Sema4d	0.17	IZ	3	[]
Pde4d	0.41	TTR or breakage	26	[('IZ', 4), ('termination', 2)]
Mboat1	0.38	TTR or breakage	3	[]
Prl7a1	0.91	CTR	1	[]
Gadd45g	0.18	TTR or breakage	1	[]
Mtrex	0.21	TTR or breakage	2	[]
Exoc2	0.52	TTR or breakage	2	[('IZ', 2)]
Ssr1	0.17	IZ	1	[]
Ofcc1	0.64	TTR or breakage	6	[('termination', 2)]
Erbin	0.25	other	2	[('TTR or breakage', 1)]
Vps41	0.35	TTR or breakage	4	[]
Gm5464	0.3	TTR or breakage	1	[]
Camk2g	0.14	TTR or breakage	2	[]
Pibf1	0.17	TTR or breakage	4	[('IZ', 1)]
Slc15a1	0.17	IZ	2	[]
Vwa8	0.25	TTR or breakage	7	[('termination', 2)]
Ppp3cb	0.15	CTR	1	[('other', 1)]
Cog3	0.17	TTR or breakage	1	[('IZ', 1)]
Txndc16	0.27	TTR or breakage	3	[]
