genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Chordc1	0.78	IZ	2	[]
Map2k5	0.19	other	5	[]
Fbxl2	0.36	TTR or breakage	2	[]
Tpbg	0.42	other	1	[]
Fam81a	0.24	IZ	2	[]
Thyn1	0.32	TTR or breakage	2	[]
Map2k1	0.15	TTR or breakage	3	[]
Kif15	0.29	CTR	2	[]
Bbs9	0.33	TTR or breakage	6	[('other', 3)]
Scaper	0.29	TTR or breakage	7	[('termination', 2)]
Mmp3	0.62	TTR or breakage	2	[]
U2surp	0.4	TTR or breakage	2	[]
Gm10646	0.2	TTR or breakage	1	[]
Pcolce2	0.37	other	1	[('TTR or breakage', 1)]
Tln2	0.28	TTR or breakage	5	[('other', 3)]
Mmp27	0.54	TTR or breakage	1	[]
Plod2	0.71	TTR or breakage	3	[]
Gk5	0.26	TTR or breakage	1	[('other', 1)]
Unc13c	0.57	TTR or breakage	8	[('termination', 3)]
Arhgap18	0.58	TTR or breakage	3	[('IZ', 1)]
Syne1	0.63	CTR	6	[('other', 6)]
Mcu	0.22	TTR or breakage	4	[('IZ', 1)]
Epb41l2	0.48	TTR or breakage	4	[]
Glipr1l2	0.4	TTR or breakage	2	[]
Lama2	0.66	TTR or breakage	9	[('termination', 3), ('other', 2)]
Metap2	0.23	CTR	1	[]
Aifm2	0.22	TTR or breakage	1	[]
Shprh	0.55	TTR or breakage	3	[]
Dusp6	0.32	IZ	1	[]
Polr3b	0.17	CTR	3	[]
1700017N19Rik	0.75	TTR or breakage	2	[]
Stxbp5	0.38	TTR or breakage	4	[]
Rev3l	0.26	other	4	[]
Cpsf6	0.2	other	2	[]
Adgrg6	0.6	TTR or breakage	3	[]
Nkain2	0.79	CTR	15	[('TTR or breakage', 9), ('other', 1)]
Lgr5	0.4	noisy	3	[]
Pcdh15	0.81	CTR	15	[('TTR or breakage', 10), ('other', 6), ('termination', 1)]
Zdhhc17	0.32	TTR or breakage	3	[]
Enpp1	0.41	other	3	[]
Fig4	0.39	termination	2	[('TTR or breakage', 2)]
Hnrnph3	0.19	TTR or breakage	1	[]
Hmga2	0.22	other	2	[('IZ', 1)]
Utp20	0.58	TTR or breakage	3	[]
D930020B18Rik	0.21	TTR or breakage	2	[]
Ybey	0.25	IZ	1	[]
Abca7	0.1	other	1	[('CTR', 1)]
Erbb3	0.13	TTR or breakage	1	[]
Crybg1	0.44	TTR or breakage	4	[]
Cep290	0.73	TTR or breakage	3	[]
Tube1	0.29	TTR or breakage	2	[]
Prdm1	0.51	IZ	3	[]
Slc5a8	0.6	other	2	[]
Igf1	0.53	other	2	[]
Scyl2	0.35	other	1	[('TTR or breakage', 1)]
Ppil6	0.31	TTR or breakage	1	[('other', 1)]
Zfc3h1	0.39	noisy	2	[]
Pcnt	0.26	other	2	[]
Map3k5	0.35	TTR or breakage	5	[]
2610507B11Rik	0.14	other	1	[]
Heatr6	0.25	TTR or breakage	1	[]
Narf	0.2	other	1	[('TTR or breakage', 1)]
Tns3	0.38	TTR or breakage	6	[]
Gria1	0.36	TTR or breakage	7	[]
Sfi1	0.5	TTR or breakage	4	[]
Arl4d	0.15	CTR	1	[]
Col23a1	0.23	TTR or breakage	7	[]
Krt10	0.27	TTR or breakage	1	[]
Chac2	0.53	termination	1	[]
Myh3	0.35	IZ	1	[('TTR or breakage', 1)]
Cops3	0.19	other	1	[]
Prpf8	0.14	CTR	2	[]
Utp18	0.23	TTR or breakage	1	[]
Dock2	0.41	TTR or breakage	5	[('IZ', 3), ('other', 3), ('termination', 1)]
Tbcd	0.27	TTR or breakage	4	[]
Psmc5	0.19	other	1	[]
Prpsap1	0.13	other	1	[]
Abca13	0.73	TTR or breakage	11	[]
Usp34	0.28	other	3	[('IZ', 1)]
Ntn1	0.2	CTR	3	[('TTR or breakage', 2)]
Uqcrq	0.17	IZ	1	[]
Col1a1	0.17	other	2	[]
Cltc	0.17	other	2	[('CTR', 1)]
Wdr92	0.54	TTR or breakage	2	[]
Ints2	0.23	other	2	[]
Rnf213	0.15	CTR	3	[]
Hormad2	0.22	other	3	[]
Rel	0.35	TTR or breakage	2	[]
Abca8a	0.5	TTR or breakage	1	[('termination', 1)]
Psme4	0.5	TTR or breakage	3	[]
Gabrg2	0.8	other	3	[]
Mir7116	0.13	other	1	[]
Zfp286	0.21	TTR or breakage	1	[]
Ppp4r3b	0.59	TTR or breakage	2	[]
Fnip1	0.26	TTR or breakage	2	[('other', 1)]
Srsf5	0.19	TTR or breakage	2	[]
Hectd1	0.21	TTR or breakage	2	[('IZ', 1)]
Dld	0.35	CTR	2	[]
Pole2	0.23	TTR or breakage	1	[]
Lrfn5	0.9	CTR	5	[('IZ', 2), ('other', 1)]
Cdkl1	0.2	other	2	[]
Npas3	0.31	TTR or breakage	16	[('termination', 2)]
Map4k5	0.21	other	2	[]
Ppp4r3a	0.33	TTR or breakage	2	[]
Agmo	0.8	other	8	[]
Rhoj	0.35	TTR or breakage	3	[]
Cfl2	0.18	TTR or breakage	1	[]
Nin	0.22	CTR	3	[]
Atg2b	0.23	other	2	[]
Gskip	0.23	other	2	[]
Rad51b	0.17	TTR or breakage	9	[('other', 3)]
Syne2	0.23	TTR or breakage	6	[('other', 1)]
Nrcam	0.59	noisy	7	[]
Eif5	0.13	other	1	[]
Numb	0.18	other	4	[]
Ppp2r5c	0.19	TTR or breakage	4	[]
Trip11	0.47	TTR or breakage	3	[]
L2hgdh	0.2	other	2	[]
Slc24a4	0.36	TTR or breakage	4	[]
Matn3	0.2	IZ	2	[]
Spata7	0.29	TTR or breakage	2	[]
Prkd1	0.68	termination	3	[('other', 2), ('TTR or breakage', 2)]
Serpina11	0.6	termination	1	[]
Cenph	0.24	IZ	1	[]
Hexb	0.23	TTR or breakage	1	[]
Rasgrf2	0.51	TTR or breakage	4	[('termination', 2)]
Bdp1	0.32	TTR or breakage	3	[]
Fam120a	0.19	TTR or breakage	3	[]
Pak1ip1	0.34	CTR	1	[]
Gfm2	0.24	TTR or breakage	2	[]
Naa35	0.22	TTR or breakage	2	[]
Ero1b	0.46	TTR or breakage	2	[]
Wnk2	0.16	IZ	2	[('TTR or breakage', 1)]
Dsp	0.31	TTR or breakage	1	[]
Adgrv1	0.35	noisy	8	[('TTR or breakage', 2), ('termination', 2)]
Ripor2	0.32	IZ	4	[('TTR or breakage', 1)]
Ddx46	0.18	other	2	[]
Cdk13	0.41	TTR or breakage	3	[]
Sema4d	0.24	TTR or breakage	3	[]
Pde4d	0.53	noisy	16	[('TTR or breakage', 13), ('termination', 2), ('IZ', 1)]
Mboat1	0.42	TTR or breakage	3	[]
Prl7a1	0.7	CTR	1	[]
Gadd45g	0.23	IZ	1	[]
Mtrex	0.32	CTR	2	[]
Exoc2	0.51	other	3	[('TTR or breakage', 1)]
Ssr1	0.29	other	1	[]
Ofcc1	0.52	other	5	[('TTR or breakage', 3)]
